English,Japanese,Kanji
Kanji; Chinese character,かんじ,漢字
textbook,きょうかしょ,教科書
page,ページ,
next,つぎ,次
money,おかね,お金
baggage,にもつ,荷物
personal computer,パソコン,
shower,シャワー,
air conditioner,エアコン,
electricity; light,でんき,電気
window,まど,窓
train,でんしゃ,電車
country; place of origin,くに,国
this week,こんしゅう,今週
next week,らいしゅう,来週
next year,らいねん,来年
night,よる,夜
,,
tough (situation),たいへん（な）,大変
,,
to play; to spend time pleasantly,あそぶ,遊ぶ
to hurry,いそぐ,急ぐ
to return (a thing) (person に thing を),かえす,返す
to turn off; to erase (～を),けす,消す
to die,しぬ,死ぬ
to sit down (seat に),すわる,座る
to stand up,たつ,立つ
to smoke,タバコをすう,タバコを吸う
to use (～を),つかう,使う
to help (person/task を),てつだう,手伝う
to enter (～に),はいる,入る
to carry; to hold (～を),もつ,持つ
to be absent (from...) (～を); to rest,やすむ,休む
,,
to open (something) (～を),あける,開ける
to close (something) (～を),しめる,閉める
to teach; to instruct (person に thing を),おしえる,教える
to forget; to leave behind (～を),わすれる,忘れる
to get off (～を),おりる,降りる
to borrow (person に thing を),かりる,借りる
to take a shower,シャワーをあびる,シャワーを浴びる
to turn on (～を),つける,
,,
to call (～に),でんわする,電話する
to bring (a person) (～を),つれてくる,連れてくる
to bring (a thing) (～を),もってくる,持ってくる
,,
later on,あとで,後で
right away,すぐ,
slowly; leisurely; unhurriedly,ゆっくり,
That would be fine.; That wouldn't be necessary,けっこうです,結構です
Really?,ほんとうですか,本当ですか
